,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
695,sounds/asr-spanish-v1-carlfm01/audios\01b1a56f-16ef-47c0-a096-46abf9841ace.wav,18,0,3.95,3.95,4.556962025316455,4.556962025316455,0.21944444444444444
696,sounds/asr-spanish-v1-carlfm01/audios\01b23073-d9ce-4bd8-929e-1c8e43d610e4.wav,17,0,2.97,2.97,5.723905723905723,5.723905723905723,0.17470588235294118
697,sounds/asr-spanish-v1-carlfm01/audios\01b2a970-8a1f-4d1b-b37c-fba25b4d9c86.wav,9,0,2.14,2.14,4.205607476635514,4.205607476635514,0.23777777777777778
698,sounds/asr-spanish-v1-carlfm01/audios\01b2aba1-b83b-4b4e-b151-b4de7312c522.wav,26,0,5.2,5.2,5.0,5.0,0.2
699,sounds/asr-spanish-v1-carlfm01/audios\01b2c3e2-68ed-4322-928f-358bcf41d6c9.wav,27,0,5.56,5.56,4.856115107913669,4.856115107913669,0.2059259259259259
700,sounds/asr-spanish-v1-carlfm01/audios\01b38773-a204-4626-837d-74a5ceb17f3d.wav,9,0,1.84,1.84,4.891304347826087,4.891304347826087,0.20444444444444446
701,sounds/asr-spanish-v1-carlfm01/audios\01b5a4e1-4639-4f1e-a7c3-d486ccf42cba.wav,16,0,2.94,2.94,5.442176870748299,5.442176870748299,0.18375
702,sounds/asr-spanish-v1-carlfm01/audios\01b7b28d-9b1e-4b39-9819-646f6597345e.wav,20,0,4.13,4.13,4.842615012106537,4.842615012106537,0.2065
703,sounds/asr-spanish-v1-carlfm01/audios\01b802d1-9431-4b91-87f7-978f50a22526.wav,23,1,4.29,4.29,5.361305361305361,5.912596401028278,0.1691304347826087
704,sounds/asr-spanish-v1-carlfm01/audios\01b8876b-8f2f-4aaa-9cdf-0e6519926be0.wav,14,0,2.64,2.64,5.303030303030303,5.303030303030303,0.18857142857142858
705,sounds/asr-spanish-v1-carlfm01/audios\01b8afed-f31d-492c-a413-034967510a0e.wav,15,2,3.19,3.19,4.702194357366771,5.919494869771114,0.1689333333333333
706,sounds/asr-spanish-v1-carlfm01/audios\01b907ec-7125-4772-b371-9d38814c8661.wav,42,2,8.32,8.32,5.0480769230769225,5.833333333333332,0.17142857142857146
707,sounds/asr-spanish-v1-carlfm01/audios\01bacd3b-3d08-47fe-8d27-5610ef3ee619.wav,13,0,3.2,3.2,4.0625,4.0625,0.24615384615384617
708,sounds/asr-spanish-v1-carlfm01/audios\01bb01cb-8296-44b5-87aa-2d617f1ef3c9.wav,13,0,2.87,2.87,4.529616724738676,4.529616724738676,0.22076923076923077
709,sounds/asr-spanish-v1-carlfm01/audios\01bbdf46-841c-4893-b149-85b5ba171433.wav,10,0,2.16,2.16,4.62962962962963,4.62962962962963,0.21600000000000003
710,sounds/asr-spanish-v1-carlfm01/audios\01bc7dd4-4cf5-4e9f-900e-63976fa91830.wav,19,0,3.93,3.93,4.8346055979643765,4.8346055979643765,0.2068421052631579
711,sounds/asr-spanish-v1-carlfm01/audios\01bcea05-aa4c-4868-95d0-ba331caad414.wav,29,0,4.71,4.71,6.1571125265392785,6.1571125265392785,0.16241379310344828
712,sounds/asr-spanish-v1-carlfm01/audios\01bd41f7-009d-4dd8-9aef-8e6909bdc4a3.wav,31,1,6.17,6.17,5.024311183144246,5.432877672625307,0.18406451612903224
713,sounds/asr-spanish-v1-carlfm01/audios\01bdb090-7ba1-4112-8093-442567d98022.wav,17,0,3.7,3.7,4.594594594594595,4.594594594594595,0.21764705882352942
714,sounds/asr-spanish-v1-carlfm01/audios\01be663a-60dc-48d0-8dd7-2f18f2c88c04.wav,7,0,1.74,1.74,4.022988505747127,4.022988505747127,0.24857142857142858
715,sounds/asr-spanish-v1-carlfm01/audios\01beb994-ed6b-4dd8-9ce9-36ab2c3712b0.wav,16,0,2.97,2.97,5.387205387205387,5.387205387205387,0.185625
716,sounds/asr-spanish-v1-carlfm01/audios\01bebd6b-c1df-4f52-891e-02b851e06a7e.wav,10,0,2.5,2.5,4.0,4.0,0.25
717,sounds/asr-spanish-v1-carlfm01/audios\01befc73-7fc5-4555-bdcb-bfc98febb5fc.wav,11,0,2.43,2.43,4.526748971193415,4.526748971193415,0.22090909090909092
718,sounds/asr-spanish-v1-carlfm01/audios\01beffb4-645f-49c1-b8c4-4bd4621a3415.wav,5,0,1.48,1.48,3.3783783783783785,3.3783783783783785,0.296
719,sounds/asr-spanish-v1-carlfm01/audios\01bf6a18-553b-4d15-8f19-e16dd803e87d.wav,6,0,1.53,1.53,3.9215686274509802,3.9215686274509802,0.255
720,sounds/asr-spanish-v1-carlfm01/audios\01bff130-9bcf-4656-a7b0-38f7c1697b17.wav,11,0,2.13,2.13,5.164319248826291,5.164319248826291,0.19363636363636363
721,sounds/asr-spanish-v1-carlfm01/audios\01c05f31-22b8-4472-999e-d8d6f518decb.wav,47,1,8.12,8.12,5.788177339901479,6.310418904403868,0.15846808510638294
722,sounds/asr-spanish-v1-carlfm01/audios\01c19761-dfec-4ea1-9d59-a05083ca6009.wav,29,2,5.98,5.98,4.849498327759197,5.668491008600468,0.1764137931034483
