,sound,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
0,sounds/asr-spanish-v1-carlfm01/audios\0000df16-47ea-428f-8367-df2ce365d5c4.wav,34,2,8.93,8.93,3.807390817469205,4.3984476067270375,0.22735294117647056
1,sounds/asr-spanish-v1-carlfm01/audios\000127f7-2705-4135-b16c-04daaa80e88d.wav,37,1,7.63,7.63,4.849279161205767,5.106265525807342,0.1958378378378378
2,sounds/asr-spanish-v1-carlfm01/audios\0001d4a5-e7f1-42a4-b71f-74bd1549f2d4.wav,15,1,3.52,3.52,4.261363636363637,4.711055276381909,0.2122666666666667
3,sounds/asr-spanish-v1-carlfm01/audios\000275c9-1aa3-4112-81df-0883a86d3fb7.wav,18,1,4.29,4.29,4.195804195804196,4.704652378463146,0.21255555555555555
4,sounds/asr-spanish-v1-carlfm01/audios\0002a149-56cf-4ce0-b2c8-506a53b47012.wav,12,0,2.66,2.66,4.511278195488722,4.511278195488722,0.22166666666666668
5,sounds/asr-spanish-v1-carlfm01/audios\00034afc-c1cb-4ac8-8330-801f2f75420b.wav,12,0,2.56,2.56,4.6875,4.6875,0.21333333333333335
6,sounds/asr-spanish-v1-carlfm01/audios\00037f94-a09f-43c3-aaa1-a009e8a1d75c.wav,17,0,2.82,2.82,6.028368794326242,6.028368794326242,0.16588235294117645
7,sounds/asr-spanish-v1-carlfm01/audios\0003f3e2-01e6-4c47-be73-8060c74df4ea.wav,8,0,2.47,2.47,3.2388663967611335,3.2388663967611335,0.30875
8,sounds/asr-spanish-v1-carlfm01/audios\00041a31-2e68-444a-9a46-d8140b532d9c.wav,8,0,1.59,1.59,5.031446540880503,5.031446540880503,0.19875
9,sounds/asr-spanish-v1-carlfm01/audios\00044ccb-0a0b-4458-aee6-60fb7bc47493.wav,12,1,3.33,3.33,3.6036036036036037,4.0733197556008145,0.24550000000000002
10,sounds/asr-spanish-v1-carlfm01/audios\00052be4-81ce-4a42-b9c4-b4547c051703.wav,16,0,3.08,3.08,5.194805194805195,5.194805194805195,0.1925
11,sounds/asr-spanish-v1-carlfm01/audios\000787af-823d-4985-bc5b-57e72a51d196.wav,13,0,2.55,2.55,5.098039215686275,5.098039215686275,0.19615384615384615
12,sounds/asr-spanish-v1-carlfm01/audios\000902d7-dd77-4ae5-b4ab-ad9001d4c2f2.wav,3,0,1.08,1.08,2.7777777777777777,2.7777777777777777,0.36000000000000004
13,sounds/asr-spanish-v1-carlfm01/audios\0009bb0f-3d7d-49ea-8bdd-6aea0f8c57b0.wav,6,0,1.71,1.71,3.5087719298245617,3.5087719298245617,0.285
14,sounds/asr-spanish-v1-carlfm01/audios\000c3c9c-f5f2-4bc5-b5b0-9524ad54bc63.wav,16,1,3.92,3.92,4.081632653061225,4.464285714285714,0.22399999999999998
15,sounds/asr-spanish-v1-carlfm01/audios\000cfa09-6a7e-4a82-8624-e5350e5417b0.wav,41,3,8.42,8.42,4.869358669833729,5.666113875069099,0.17648780487804877
16,sounds/asr-spanish-v1-carlfm01/audios\000d6e8e-e7ee-4460-9827-173ff2a23fc4.wav,12,0,2.51,2.51,4.780876494023905,4.780876494023905,0.20916666666666664
17,sounds/asr-spanish-v1-carlfm01/audios\000d74d9-af5f-4bcd-9a95-5db1faf0f2cf.wav,11,0,2.09,2.09,5.2631578947368425,5.2631578947368425,0.18999999999999997
18,sounds/asr-spanish-v1-carlfm01/audios\000e01b0-ea57-47d0-a0b6-72730e2438a4.wav,27,0,5.08,5.08,5.31496062992126,5.71549534292972,0.17496296296296296
19,sounds/asr-spanish-v1-carlfm01/audios\000e02db-1cf8-439e-8222-07fad9e606fa.wav,20,0,3.23,3.23,6.191950464396285,6.191950464396285,0.1615
20,sounds/asr-spanish-v1-carlfm01/audios\000e8371-3fc3-44ab-9db4-baaf069192b1.wav,9,1,2.03,2.03,4.433497536945813,6.907137375287797,0.14477777777777778
21,sounds/asr-spanish-v1-carlfm01/audios\000e9156-70f9-44e9-b898-d67fb1a8b043.wav,15,1,4.07,4.07,3.685503685503685,4.017139796464917,0.24893333333333334
22,sounds/asr-spanish-v1-carlfm01/audios\000ed7a0-83e6-4a02-9b73-b30f6d41986f.wav,14,0,2.56,2.56,5.46875,5.46875,0.18285714285714286
23,sounds/asr-spanish-v1-carlfm01/audios\0011ee90-37d3-4010-93f5-8254ca682cd0.wav,12,0,2.7,2.7,4.444444444444444,4.444444444444444,0.225
24,sounds/asr-spanish-v1-carlfm01/audios\00127a55-d137-464c-be7e-ec9f0d7d78f1.wav,6,0,1.55,1.55,3.8709677419354835,3.8709677419354835,0.25833333333333336
25,sounds/asr-spanish-v1-carlfm01/audios\001323b5-9f5d-4157-9d4c-6de0a207bc05.wav,10,0,1.87,1.87,5.347593582887701,5.347593582887701,0.187
26,sounds/asr-spanish-v1-carlfm01/audios\00138b38-e803-4ac5-8ea3-3ca7931ecf90.wav,23,1,4.48,4.48,5.133928571428571,5.727091633466135,0.1746086956521739
27,sounds/asr-spanish-v1-carlfm01/audios\0013cf1c-deb0-4f50-8af4-90eaa3c4390e.wav,19,0,3.48,3.48,5.459770114942529,5.459770114942529,0.1831578947368421
28,sounds/asr-spanish-v1-carlfm01/audios\0013fe62-5bc6-4046-bc33-d01ce370cd86.wav,18,1,4.15,4.15,4.337349397590361,4.9046321525885554,0.2038888888888889
29,sounds/asr-spanish-v1-carlfm01/audios\00141d03-78cf-4404-99bf-73b9a4433a5a.wav,10,0,1.92,1.92,5.208333333333334,5.208333333333334,0.192
30,sounds/asr-spanish-v1-carlfm01/audios\0014706c-240d-4372-a340-eca88fd40636.wav,20,1,4.43,4.43,4.514672686230249,5.002501250625312,0.19990000000000002
31,sounds/asr-spanish-v1-carlfm01/audios\0014ad84-e8ac-43b4-bd94-e95df7fb7151.wav,6,0,1.43,1.43,4.195804195804196,4.195804195804196,0.2383333333333333
32,sounds/asr-spanish-v1-carlfm01/audios\0014fb18-eb15-45c8-9fb9-792ae5068df2.wav,24,0,5.19,5.19,4.624277456647398,4.624277456647398,0.21625000000000003
33,sounds/asr-spanish-v1-carlfm01/audios\001525d9-2078-436c-906f-054ade1b2c9d.wav,16,0,4.14,4.14,3.8647342995169085,3.8647342995169085,0.25875
34,sounds/asr-spanish-v1-carlfm01/audios\0015e811-7a4f-43a7-9fe7-b9e7de91e31f.wav,19,0,4.03,4.03,4.714640198511166,4.714640198511166,0.21210526315789474
35,sounds/asr-spanish-v1-carlfm01/audios\001a09b3-2abe-48e3-b416-aecc7da46749.wav,15,1,3.8,3.8,3.947368421052632,4.370629370629371,0.2288
36,sounds/asr-spanish-v1-carlfm01/audios\001ba69d-176c-4111-837b-c00ecbb5a014.wav,9,0,2.08,2.08,4.326923076923077,4.326923076923077,0.23111111111111113
37,sounds/asr-spanish-v1-carlfm01/audios\001bfce6-18dc-4d04-99f2-c7056b22371c.wav,22,1,4.14,4.14,5.314009661835749,5.907626208378089,0.16927272727272727
38,sounds/asr-spanish-v1-carlfm01/audios\001e4bbe-68cc-41c0-8448-62a0037e0d4e.wav,29,2,7.65,7.65,3.7908496732026142,4.634068392457655,0.21579310344827582
39,sounds/asr-spanish-v1-carlfm01/audios\001e5d6f-8d41-4010-9e74-e65908c1579e.wav,25,2,5.99,5.99,4.173622704507513,4.743833017077798,0.21080000000000002
40,sounds/asr-spanish-v1-carlfm01/audios\001e8b6e-f25f-4af8-88c3-1e14687e853b.wav,9,0,1.97,1.97,4.568527918781726,4.568527918781726,0.21888888888888888
41,sounds/asr-spanish-v1-carlfm01/audios\001eeb62-041e-4fdf-99ba-b00df40e5449.wav,10,0,2.17,2.17,4.6082949308755765,4.6082949308755765,0.217
42,sounds/asr-spanish-v1-carlfm01/audios\001f802c-7b7b-4e09-b1d6-e80bbf185144.wav,9,0,1.6,1.6,5.625,5.625,0.17777777777777778
43,sounds/asr-spanish-v1-carlfm01/audios\001f942c-2f5e-4b6a-9a4d-f423995b6567.wav,9,1,2.78,2.78,3.2374100719424463,3.9964476021314392,0.2502222222222222
44,sounds/asr-spanish-v1-carlfm01/audios\00204a58-9369-43b0-9d80-cf2dba765242.wav,11,0,2.32,2.32,4.741379310344828,4.741379310344828,0.2109090909090909
45,sounds/asr-spanish-v1-carlfm01/audios\0020cb61-02ab-4532-95fd-3151afd525ec.wav,18,1,3.78,3.78,4.761904761904762,5.250875145857644,0.19044444444444442
46,sounds/asr-spanish-v1-carlfm01/audios\00219129-e091-43ef-8085-b415b28b17c1.wav,18,0,3.47,3.47,5.187319884726224,5.187319884726224,0.1927777777777778
47,sounds/asr-spanish-v1-carlfm01/audios\0021b1cf-9178-41c9-b870-20fdf5d8c55f.wav,15,0,3.21,3.21,4.672897196261682,4.672897196261682,0.214
48,sounds/asr-spanish-v1-carlfm01/audios\0022695f-e09d-4aa5-8587-8bf65820e572.wav,9,0,2.08,2.08,4.326923076923077,4.326923076923077,0.23111111111111113
49,sounds/asr-spanish-v1-carlfm01/audios\00227121-a42e-4caa-bb15-44410e9e8ba5.wav,16,0,2.95,2.95,5.423728813559322,5.423728813559322,0.184375
50,sounds/asr-spanish-v1-carlfm01/audios\002272a5-8e4d-4b8b-904b-66081b098104.wav,21,0,4.76,4.76,4.411764705882353,4.411764705882353,0.22666666666666666
51,sounds/asr-spanish-v1-carlfm01/audios\00228f7d-8aab-41ef-a4ca-8fe921f23d31.wav,24,1,4.55,4.55,5.274725274725275,5.828071879553182,0.1715833333333333
52,sounds/asr-spanish-v1-carlfm01/audios\00229a82-fc7c-4149-b0a8-a711bc1bd32d.wav,26,1,5.65,5.65,4.601769911504425,5.222981116914423,0.1914615384615385
53,sounds/asr-spanish-v1-carlfm01/audios\00245706-89e5-4bc5-a3ff-8e7a5ff5c8e4.wav,10,1,2.66,2.66,3.7593984962406015,5.567928730512248,0.17960000000000004
54,sounds/asr-spanish-v1-carlfm01/audios\0025140a-bae9-4c9f-841f-dc98d045f448.wav,5,0,1.33,1.33,3.7593984962406015,3.7593984962406015,0.266
55,sounds/asr-spanish-v1-carlfm01/audios\00253aeb-9990-43d0-a9d8-3807f8a12a7d.wav,17,1,3.9,3.9,4.3589743589743595,5.041518386714117,0.1983529411764706
56,sounds/asr-spanish-v1-carlfm01/audios\00255fbf-6b1c-490b-a994-a8780e0c46a4.wav,16,0,3.02,3.02,5.298013245033113,5.298013245033113,0.18875
57,sounds/asr-spanish-v1-carlfm01/audios\0025a1a3-c542-473b-ad58-4ba0a5aecd64.wav,13,0,2.94,2.94,4.421768707482993,4.421768707482993,0.22615384615384615
58,sounds/asr-spanish-v1-carlfm01/audios\00262c29-6a70-41f7-be57-5505ea8a45c3.wav,21,1,4.43,4.43,4.740406320541761,5.404014410705097,0.18504761904761902
59,sounds/asr-spanish-v1-carlfm01/audios\00262d69-ec91-4200-92b7-c4afc6c57d8e.wav,14,0,2.38,2.38,5.882352941176471,5.882352941176471,0.16999999999999998
60,sounds/asr-spanish-v1-carlfm01/audios\002640a6-ab5d-412b-9b47-3f7b33cf9a8c.wav,13,0,2.25,2.25,5.777777777777778,5.777777777777778,0.17307692307692307
61,sounds/asr-spanish-v1-carlfm01/audios\0026a4e1-830c-45ff-bc71-87a6aaa4a426.wav,48,1,8.58,8.58,5.594405594405594,5.9970014992503735,0.16675000000000004
62,sounds/asr-spanish-v1-carlfm01/audios\0026cdbf-5c2a-44d0-ac5e-2f541776fba2.wav,56,3,11.57,11.57,4.840103716508211,5.4934275063763005,0.18203571428571427
63,sounds/asr-spanish-v1-carlfm01/audios\0026d713-292c-4e26-9086-067f1964d950.wav,24,1,6.22,6.22,3.8585209003215435,4.078857919782461,0.24516666666666664
64,sounds/asr-spanish-v1-carlfm01/audios\002867f5-6755-43e0-9354-27e11c3f43d0.wav,7,0,1.75,1.75,4.0,4.0,0.25
65,sounds/asr-spanish-v1-carlfm01/audios\00288f46-01d8-4e16-93d7-367997e2f8a5.wav,26,1,6.39,6.39,4.068857589984351,4.691447130999639,0.21315384615384614
66,sounds/asr-spanish-v1-carlfm01/audios\0028b3fa-c34e-43e8-b1b4-1f4bf688e33b.wav,24,0,5.33,5.33,4.50281425891182,4.50281425891182,0.22208333333333333
67,sounds/asr-spanish-v1-carlfm01/audios\00296780-f7ca-45d6-aa7f-a5b717e171ce.wav,10,0,2.13,2.13,4.694835680751174,4.694835680751174,0.213
68,sounds/asr-spanish-v1-carlfm01/audios\002a4d48-5394-4aa2-9bc2-82ed91383ec5.wav,4,0,1.19,1.19,3.361344537815126,3.361344537815126,0.2975
69,sounds/asr-spanish-v1-carlfm01/audios\002b8911-08a8-444c-86e0-c1fedd3c971d.wav,31,1,5.72,5.72,5.41958041958042,5.934150076569679,0.16851612903225804
70,sounds/asr-spanish-v1-carlfm01/audios\002c1c18-3958-4f05-a366-5e79b949e4e3.wav,21,0,4.54,4.54,4.6255506607929515,4.6255506607929515,0.21619047619047618
71,sounds/asr-spanish-v1-carlfm01/audios\002c6033-6ef3-4630-b468-fc23f9dfc0fb.wav,10,0,2.15,2.15,4.651162790697675,4.651162790697675,0.215
72,sounds/asr-spanish-v1-carlfm01/audios\002c8a1b-5d4b-4736-98ef-89b49eec7640.wav,9,0,1.84,1.84,4.891304347826087,4.891304347826087,0.20444444444444446
73,sounds/asr-spanish-v1-carlfm01/audios\002e052e-b39f-40df-a96b-a5b3aef32fc6.wav,36,0,6.93,6.93,5.194805194805195,5.194805194805195,0.1925
74,sounds/asr-spanish-v1-carlfm01/audios\002e08c8-50ca-464f-a86a-c545432db931.wav,12,1,2.76,2.76,4.347826086956522,5.263157894736843,0.18999999999999995
75,sounds/asr-spanish-v1-carlfm01/audios\002e2f66-ebe4-45aa-8d57-0a85cff9988c.wav,9,0,1.73,1.73,5.202312138728324,5.202312138728324,0.1922222222222222
76,sounds/asr-spanish-v1-carlfm01/audios\002f21be-b730-4289-922f-61238833a3d3.wav,46,2,8.24,8.24,5.58252427184466,6.291028446389497,0.15895652173913044
77,sounds/asr-spanish-v1-carlfm01/audios\002f36f4-77e1-4266-9b15-c7c8590143de.wav,11,0,1.93,1.93,5.699481865284974,5.699481865284974,0.17545454545454545
78,sounds/asr-spanish-v1-carlfm01/audios\003053c9-589f-4415-90be-33c5d882a0a7.wav,25,1,6.34,6.34,3.943217665615142,4.633061527057079,0.21584
79,sounds/asr-spanish-v1-carlfm01/audios\0031adfd-c4d1-4ca0-8883-150edcf54262.wav,23,0,4.12,4.12,5.58252427184466,5.58252427184466,0.1791304347826087
80,sounds/asr-spanish-v1-carlfm01/audios\003214ff-ac72-4f33-9b36-4180cd1c1a6a.wav,6,0,2.1,2.1,2.857142857142857,2.857142857142857,0.35000000000000003
81,sounds/asr-spanish-v1-carlfm01/audios\00335bbd-3e9e-4bb2-992f-42bba479938b.wav,22,0,4.02,4.02,5.472636815920398,5.472636815920398,0.1827272727272727
82,sounds/asr-spanish-v1-carlfm01/audios\003390c0-8f8f-4f5d-a658-5826b8bfe049.wav,17,1,4.73,4.73,3.5940803382663846,4.030346135609293,0.24811764705882353
83,sounds/asr-spanish-v1-carlfm01/audios\0034b899-957c-426b-b27d-472c19154a7c.wav,12,0,2.46,2.46,4.878048780487805,4.878048780487805,0.205
84,sounds/asr-spanish-v1-carlfm01/audios\003558d1-5d10-4b1e-8a8a-1203c72cbb60.wav,17,2,4.94,4.94,3.4412955465587043,4.1062801932367154,0.24352941176470586
85,sounds/asr-spanish-v1-carlfm01/audios\00359e08-aa5b-446d-b3b4-6b412b813c88.wav,6,0,1.31,1.31,4.580152671755725,4.580152671755725,0.21833333333333335
86,sounds/asr-spanish-v1-carlfm01/audios\00359f58-0f13-4ecd-af17-87ed7caefb7a.wav,18,1,4.39,4.39,4.100227790432802,4.457652303120358,0.2243333333333333
87,sounds/asr-spanish-v1-carlfm01/audios\0036babc-06d6-4461-896a-d949add66899.wav,27,0,5.44,5.44,4.963235294117647,5.340189873417722,0.18725925925925926
88,sounds/asr-spanish-v1-carlfm01/audios\00371850-7633-4058-8a64-cd70f5be4c56.wav,14,0,2.94,2.94,4.761904761904762,4.761904761904762,0.21
89,sounds/asr-spanish-v1-carlfm01/audios\0037b0b7-886a-4499-94a6-50425ddb5fa0.wav,16,0,2.93,2.93,5.46075085324232,5.46075085324232,0.183125
90,sounds/asr-spanish-v1-carlfm01/audios\0037bc03-a1cf-4986-b95d-1fd9ab135f79.wav,12,0,2.81,2.81,4.270462633451957,4.270462633451957,0.23416666666666666
91,sounds/asr-spanish-v1-carlfm01/audios\0037d3f9-36d7-4bbc-9033-8dc137a960d4.wav,11,0,1.81,1.81,6.077348066298343,6.077348066298343,0.16454545454545455
92,sounds/asr-spanish-v1-carlfm01/audios\0038822a-d676-465c-a37a-f0b14c9e4b1e.wav,10,0,1.75,1.75,5.714285714285714,5.714285714285714,0.175
93,sounds/asr-spanish-v1-carlfm01/audios\0038dc52-ff9b-44c0-bcc7-3db336d5052d.wav,14,1,2.84,2.84,4.929577464788733,5.627009646302252,0.17771428571428569
94,sounds/asr-spanish-v1-carlfm01/audios\0038e19b-0391-47db-a5f0-8a8b5cc287b4.wav,8,0,2.34,2.34,3.418803418803419,3.418803418803419,0.2925
95,sounds/asr-spanish-v1-carlfm01/audios\00394881-a59d-4fb3-b553-fbc1114d0de4.wav,11,0,2.52,2.52,4.365079365079365,4.365079365079365,0.2290909090909091
96,sounds/asr-spanish-v1-carlfm01/audios\0039728e-71ef-4770-bfbc-f93a236590fa.wav,23,1,6.01,6.01,3.826955074875208,4.0308447248510335,0.24808695652173915
97,sounds/asr-spanish-v1-carlfm01/audios\0039caf5-8845-432b-974d-483847667ca7.wav,14,1,3.39,3.39,4.129793510324483,5.003573981415297,0.19985714285714287
98,sounds/asr-spanish-v1-carlfm01/audios\003a292a-749b-4bf2-87a5-ca3ee1001747.wav,25,1,5.37,5.37,4.655493482309125,5.0464271295922485,0.19816000000000003
99,sounds/asr-spanish-v1-carlfm01/audios\003b6fb5-96a1-4cd0-93b8-02ad24db3995.wav,20,0,3.75,3.75,5.333333333333333,5.333333333333333,0.1875
100,sounds/asr-spanish-v1-carlfm01/audios\003c29d6-8489-4db2-962f-bed4ced67b70.wav,91,5,16.83,16.83,5.407011289364231,6.1628064472436686,0.16226373626373625
101,sounds/asr-spanish-v1-carlfm01/audios\003e524d-7995-45fb-bb50-55273c3f2712.wav,8,0,1.78,1.78,4.49438202247191,4.49438202247191,0.2225
102,sounds/asr-spanish-v1-carlfm01/audios\003faf0a-7953-4ef8-865f-f263add98ace.wav,17,0,3.87,3.87,4.3927648578811365,4.3927648578811365,0.22764705882352942
103,sounds/asr-spanish-v1-carlfm01/audios\004016f5-5425-4d73-99eb-dfc640c5b6f7.wav,19,0,3.9,3.9,4.871794871794872,4.871794871794872,0.20526315789473684
104,sounds/asr-spanish-v1-carlfm01/audios\00413ea4-1530-45a0-8088-5ffdd0c00c54.wav,6,0,1.19,1.19,5.042016806722689,5.042016806722689,0.19833333333333333
105,sounds/asr-spanish-v1-carlfm01/audios\0041bdde-6fad-43c9-a870-0e5d530fbbba.wav,22,0,4.07,4.07,5.405405405405405,5.405405405405405,0.18500000000000003
106,sounds/asr-spanish-v1-carlfm01/audios\0041e7b8-ea58-407a-b770-c33e1372bfa2.wav,17,1,3.54,3.54,4.80225988700565,5.279503105590062,0.18941176470588234
107,sounds/asr-spanish-v1-carlfm01/audios\0042481e-0a0d-46de-80b1-8fa00c32a1c4.wav,14,1,3.75,3.75,3.7333333333333334,4.776526782668031,0.20935714285714285
108,sounds/asr-spanish-v1-carlfm01/audios\004291e7-1961-4ee0-ada8-62bc775a84b5.wav,13,0,2.25,2.25,5.777777777777778,5.777777777777778,0.17307692307692307
109,sounds/asr-spanish-v1-carlfm01/audios\00442ae2-26d6-4f3b-9e7d-e51c32f99c50.wav,21,2,4.82,4.82,4.356846473029045,5.287009063444109,0.18914285714285714
110,sounds/asr-spanish-v1-carlfm01/audios\00443075-6b70-4bfe-902d-5d4e54771a33.wav,29,2,6.53,6.53,4.4410413476263395,5.69744597249509,0.1755172413793103
111,sounds/asr-spanish-v1-carlfm01/audios\004453f0-92a3-4851-a6d2-28a90849f323.wav,10,0,2.48,2.48,4.032258064516129,4.032258064516129,0.248
112,sounds/asr-spanish-v1-carlfm01/audios\0044ba2d-e3bf-4c11-b3b6-c0771e26e93a.wav,36,3,8.37,8.37,4.301075268817205,4.998611496806444,0.20005555555555551
113,sounds/asr-spanish-v1-carlfm01/audios\0044c532-931e-4e25-8b9f-2f9de7bd6554.wav,8,0,1.37,1.37,5.839416058394161,5.839416058394161,0.17125
114,sounds/asr-spanish-v1-carlfm01/audios\004595a5-0acd-4869-b5d1-deaed63998e1.wav,17,0,2.74,2.74,6.204379562043795,6.204379562043795,0.1611764705882353
115,sounds/asr-spanish-v1-carlfm01/audios\00461441-824c-4c9f-89f1-95c40ddf14fd.wav,17,0,2.85,2.85,5.964912280701754,5.964912280701754,0.16764705882352943
116,sounds/asr-spanish-v1-carlfm01/audios\00462397-84f2-4096-99db-8159c0b7346f.wav,16,1,3.36,3.36,4.761904761904762,5.319148936170213,0.188
117,sounds/asr-spanish-v1-carlfm01/audios\0046553e-a7bb-4914-a2fa-4bf33e2c81d1.wav,6,0,1.62,1.62,3.7037037037037033,3.7037037037037033,0.27
118,sounds/asr-spanish-v1-carlfm01/audios\0046c5ea-6850-400f-a143-a46a59901e8e.wav,11,0,2.08,2.08,5.288461538461538,5.288461538461538,0.1890909090909091
119,sounds/asr-spanish-v1-carlfm01/audios\0046f34d-1e95-479f-bba3-6869b512bf72.wav,15,0,3.15,3.15,4.761904761904762,4.761904761904762,0.21
120,sounds/asr-spanish-v1-carlfm01/audios\004713ad-61b4-4d8c-a217-39fff8131f0c.wav,56,2,9.65,9.65,5.803108808290156,6.444188722669736,0.15517857142857142
121,sounds/asr-spanish-v1-carlfm01/audios\0048ba1d-3612-42b8-965b-821803148bec.wav,24,1,4.64,4.64,5.172413793103448,6.097560975609756,0.164
122,sounds/asr-spanish-v1-carlfm01/audios\0048e39d-13c6-4cbb-984e-fe712007052d.wav,9,0,2.39,2.39,3.7656903765690375,3.7656903765690375,0.26555555555555554
123,sounds/asr-spanish-v1-carlfm01/audios\0049ca06-202a-47c4-a489-393b259eedb0.wav,6,0,1.7,1.7,3.5294117647058822,3.5294117647058822,0.2833333333333333
124,sounds/asr-spanish-v1-carlfm01/audios\0049d52c-d755-44a3-9cdf-d37f84bc445f.wav,13,0,2.56,2.56,5.078125,5.078125,0.19692307692307692
125,sounds/asr-spanish-v1-carlfm01/audios\004a2c8b-7acd-4efc-bbb9-2bd21ecfac84.wav,19,0,3.78,3.78,5.026455026455027,5.520046484601975,0.1811578947368421
126,sounds/asr-spanish-v1-carlfm01/audios\004ac7b2-4c74-4b72-a4cf-98f3ac0c1e30.wav,33,2,6.61,6.61,4.992435703479576,5.7591623036649215,0.17363636363636362
127,sounds/asr-spanish-v1-carlfm01/audios\004c0908-6791-47a8-8638-df6fcf1fdd29.wav,51,1,10.49,10.49,4.861773117254528,5.0465070255293885,0.19815686274509803
128,sounds/asr-spanish-v1-carlfm01/audios\004c3ea8-9f04-452b-90fd-94066edcee28.wav,24,0,4.0,4.0,6.0,6.0,0.16666666666666666
129,sounds/asr-spanish-v1-carlfm01/audios\004c6b1d-44db-4701-bd11-7095ea9c4272.wav,11,0,2.51,2.51,4.382470119521913,4.382470119521913,0.22818181818181815
130,sounds/asr-spanish-v1-carlfm01/audios\004c6be6-f657-45a4-b326-8d028b8bfd7e.wav,25,1,5.44,5.44,4.595588235294118,4.976114649681528,0.20096000000000003
131,sounds/asr-spanish-v1-carlfm01/audios\004e9314-a2f8-4487-a6ed-f250cf81f5f9.wav,10,0,2.14,2.14,4.672897196261682,4.672897196261682,0.21400000000000002
132,sounds/asr-spanish-v1-carlfm01/audios\004f3df4-c84e-40ad-9192-12cf3de25560.wav,24,0,6.2,6.2,3.8709677419354835,3.8709677419354835,0.25833333333333336
133,sounds/asr-spanish-v1-carlfm01/audios\004fb03f-995d-4ac0-b1de-a86739f4b0de.wav,15,1,3.96,3.96,3.787878787878788,4.1574279379157435,0.24053333333333332
134,sounds/asr-spanish-v1-carlfm01/audios\005033ac-f120-4b68-ab37-67e37f40ef03.wav,13,0,2.24,2.24,5.803571428571428,5.803571428571428,0.17230769230769233
135,sounds/asr-spanish-v1-carlfm01/audios\0050eab0-71a7-47e7-a417-f7c739a113d2.wav,14,0,2.96,2.96,4.72972972972973,4.72972972972973,0.21142857142857144
136,sounds/asr-spanish-v1-carlfm01/audios\00511029-b051-49f1-b86d-4cc039a1c699.wav,56,2,11.31,11.31,4.951370468611848,5.619104956853301,0.17796428571428574
137,sounds/asr-spanish-v1-carlfm01/audios\00515b25-fe06-44d4-a2b6-0a837a31446e.wav,14,0,3.02,3.02,4.635761589403973,4.635761589403973,0.21571428571428572
138,sounds/asr-spanish-v1-carlfm01/audios\00518045-29f0-4639-aff6-767068872dbf.wav,27,3,7.84,7.84,3.443877551020408,4.085956416464891,0.24474074074074073
139,sounds/asr-spanish-v1-carlfm01/audios\005331f6-c908-4537-9154-5a3e0ff17c58.wav,7,0,1.68,1.68,4.166666666666667,5.087209302325582,0.19657142857142856
140,sounds/asr-spanish-v1-carlfm01/audios\00540e1c-4ad1-457d-ba4f-91f43e53e282.wav,9,0,1.7,1.7,5.294117647058823,5.294117647058823,0.18888888888888888
141,sounds/asr-spanish-v1-carlfm01/audios\0054980a-5c0a-47c1-8178-056c1882254b.wav,29,1,6.07,6.07,4.7775947281713345,5.2784856206771025,0.18944827586206897
142,sounds/asr-spanish-v1-carlfm01/audios\0054d1ed-9709-4e53-833e-e93bc94aa4f9.wav,29,1,5.44,5.44,5.330882352941176,5.735759493670885,0.17434482758620692
143,sounds/asr-spanish-v1-carlfm01/audios\0054da82-52f8-447e-ae59-b9ab4535beea.wav,17,1,4.4,4.4,3.8636363636363633,4.199604743083004,0.23811764705882354
144,sounds/asr-spanish-v1-carlfm01/audios\005545e2-bcf5-4900-8d55-3981a62433ec.wav,21,0,4.2,4.2,5.0,5.0,0.2
145,sounds/asr-spanish-v1-carlfm01/audios\00558720-b2c6-408d-98df-5bf7913a5c63.wav,7,0,1.6,1.6,4.375,4.375,0.2285714285714286
146,sounds/asr-spanish-v1-carlfm01/audios\005693d5-19fc-40db-8454-6261d3a1101a.wav,21,0,4.38,4.38,4.794520547945206,4.794520547945206,0.20857142857142857
147,sounds/asr-spanish-v1-carlfm01/audios\0056aeee-3011-451c-84d2-99c7d4d22961.wav,31,1,6.18,6.18,5.016181229773463,5.694342395297576,0.17561290322580644
148,sounds/asr-spanish-v1-carlfm01/audios\00572617-9f75-4484-868b-fcd47bcd1f3d.wav,12,0,2.46,2.46,4.878048780487805,4.878048780487805,0.205
149,sounds/asr-spanish-v1-carlfm01/audios\0058eeca-22a2-4fb2-9103-7f833ecd1426.wav,18,0,4.22,4.22,4.265402843601896,4.265402843601896,0.23444444444444443
150,sounds/asr-spanish-v1-carlfm01/audios\0059da78-e5e8-467f-80ab-49f3badb5431.wav,16,0,3.13,3.13,5.111821086261981,5.111821086261981,0.195625
151,sounds/asr-spanish-v1-carlfm01/audios\005a6ff4-b5cb-4c36-872f-eb0789f66bd4.wav,11,0,2.47,2.47,4.4534412955465585,4.4534412955465585,0.22454545454545458
152,sounds/asr-spanish-v1-carlfm01/audios\005aba8c-c152-4a2a-a7a6-bea33fcd8fd3.wav,23,0,5.09,5.09,4.518664047151277,4.518664047151277,0.22130434782608696
153,sounds/asr-spanish-v1-carlfm01/audios\005aee60-1318-4928-9d5c-4f1c61d1a63e.wav,38,1,7.01,7.01,5.4208273894436525,5.819295558958653,0.17184210526315788
